Exercise Name,Category,Age Group,Goals,Target Region,Contraindications,Fitness Level,Available Equipment,Sets,Reps,RPE,Rest Intervals,Health Benefit,Steps to Perform,Safety Cue,Validation Status
Lying Glute Stretch (Figure 4),Flexibility,All Ages,"Improve Flexibility & Mobility, Rehabilitation & Injury prevention",Lower Body,"Recent hip/knee surgery, acute piriformis syndrome",Level 2 – Beginner Functional,Mat,2,Hold 30 sec / side,3-2,15 seconds,Glute/Hip Mobility & Sciatica Relief,"1. Lie on back, knees bent, feet flat. Cross one ankle over the opposite thigh (forming a '4'). 2. Gently pull the bottom thigh toward your chest. 3. Feel the stretch in the outer hip of the crossed leg. Hold and switch.",Keep your head and neck relaxed on the mat. Never pull so hard that the stretch becomes painful.,
Seated Alternating Knee Extension,"Mobility, Rehabilitation",60+,"Rehabilitation & Injury prevention, Increase overall strength",Lower Body,"Acute knee swelling, unhealed patellar fracture",Level 1 – Assisted / Low Function,"Sturdy Chair, Bodyweight",3,15-20 / leg,3-2,30 seconds,Quad Activation & Knee Joint Lubrication,"1. Sit tall in a chair, feet flat on the floor. 2. Slowly extend one knee until the leg is straight, contracting the quad muscle. 3. Slowly lower the foot back to the floor. Alternate legs.",Ensure you are sitting fully upright and using the quadriceps muscle to straighten the leg.,
Dumbbell Romanian Deadlift (RDL),Functional Strength,18-55,"Increase overall strength, Improve Flexibility & Mobility","Lower Body, Core","Acute lumbar disc injury, severe hamstring tear",Level 5 – Adaptive Advanced,Free Weights (Dumbbells),3,8-10,8-7,120 seconds,Hamstring & Glute Development,"1. Stand holding dumbbells, soft bend in knees. 2. Hinge at the hips, pushing glutes back, lowering the weights along the legs until a stretch is felt in hamstrings. 3. Drive hips forward, squeezing glutes to stand tall.",Keep your back flat throughout the movement. The weights should stay close to your legs (like shaving your shins).,
Deep Squat Breathing (Yoga/Mobility),"Breathing & Diaphragmatic Work, Mobility",All Ages,"Improve Flexibility & Mobility, Reduce Stress","Lower Body, Full Body","Acute knee pain, recent hip replacement",Level 3 – Moderate / Independent,Mat,3,5 deep breaths,3-2,30 seconds,Pelvic Floor Health & Hip Opening,"1. Stand with feet wide, squat down into a deep squat (use a block under hips if needed). 2. Rest elbows on the inside of the knees, pressing gently to open the hips. 3. Take slow, deep, diaphragmatic breaths in this position.","Ensure your knees track in line with your toes. If heels lift, place a rolled towel under them.",
Medicine Ball Rotational Throw (Wall),Functional Strength,18-40,Increase overall strength,"Full Body, Core","Spinal disc issues, unhealed oblique strain",Level 5 – Adaptive Advanced,"Balls (Medicine Ball), Wall",3,8-10 / side,9-8,90 seconds,Rotational Core Power & Speed,"1. Stand perpendicular to a sturdy wall, holding a medicine ball at your chest. 2. Rotate away from the wall, then explosively rotate toward the wall, throwing the ball hard into the wall. 3. Catch the rebound and repeat quickly.",Pivot the back foot to allow the hips to rotate fully and protect the knees and low back.,
Hip Abduction (Resistance Machine),"Stability, Rehabilitation",40+,"Rehabilitation & Injury prevention, Increase overall strength",Lower Body,"Acute hip joint pain, recent hip surgery",Level 2 – Beginner Functional,Machine,3,15-20,5-4,60 seconds,Hip Joint Stabilization & Knee Alignment,"1. Sit in the machine, position pads on the outside of your knees. 2. Slowly press your legs open, pushing against the resistance. 3. Slowly return the legs to the starting position with control.",Maintain an upright posture and avoid leaning forward or backward to generate the force.,
Lying Side Reach,"Mobility, Core (Spine-Friendly)",All Ages,"Rehabilitation & Injury prevention, Improve Flexibility & Mobility","Core, Upper Body","Acute shoulder pain, severe hip weakness",Level 1 – Assisted / Low Function,Mat,3,10-12 / side,3-2,30 seconds,Oblique Activation & Side Flexion,"1. Lie on your back, knees bent, feet flat. Place arms by your sides. 2. Gently lift your head and shoulders, reaching one hand toward the heel on the same side. 3. Tap your heel, then slowly lower back down. Alternate sides.",Keep your chin slightly tucked and avoid straining the neck. The movement is a gentle crunch to the side.,
Single-Leg Dumbbell RDL,"Functional Strength, Balance",18-55,"Increase overall strength, Improve Flexibility & Mobility","Lower Body, Core","Acute low back pain, severe ankle instability",Level 5 – Adaptive Advanced,Free Weights (Dumbbell),3,8-10 / leg,9-8,90 seconds,Glute/Hamstring Strength & Balance,"1. Stand holding one dumbbell in the hand opposite the standing leg. 2. Hinge at the hip, lowering the torso while extending the back leg straight behind you. 3. Maintain a flat back. Drive through the standing heel to return to standing, squeezing the glute.","Maintain a neutral spine; focus on pushing the hips back. It's a balance challenge, so move with control.",
Stability Ball Plank,"Core (Spine-Friendly), Stability",18-60,"Increase overall strength, Improve Posture and Balance","Core, Full Body","Acute shoulder pain, recent abdominal surgery",Level 4 – Active Wellness,Balls (Stability Ball),3,Hold 45-60 sec,7-6,60 seconds,Deep Core Stabilization & Endurance,"1. Get into a forearm plank position with your elbows resting on the stability ball. 2. Walk feet back until your body forms a straight line from head to heels. 3. Brace your core and glutes tightly, resisting the urge to let the ball shift or spin.",Keep your hips level and avoid letting your low back arch or sag. The body should be rigid like a board.,
Lateral Box Jump (Low),"Functional Strength, Low-Impact Cardio",18-40,"Improve cardiovascular fitness, Increase overall strength","Lower Body, Full Body","Acute knee/ankle pain, severe osteoporosis",Level 5 – Adaptive Advanced,Cardio Tools (Box/Step),3,10-12 / side,9-8,90 seconds,Explosive Power & Coordination,"1. Stand beside a low, sturdy box. Lower into a quarter-squat. 2. Explode sideways, landing softly on top of the box. 3. Step or jump back down and immediately repeat, alternating sides or sets.",Always land softly with bent knees to absorb impact. Ensure the box is sturdy and will not slip.,
Yoga: Warrior II (Virabhadrasana II),"Yoga, Posture, Stability",All Ages,"Improve Flexibility & Mobility, Improve Posture and Balance","Lower Body, Full Body","Acute knee pain, unmanaged high blood pressure (look down)",Level 3 – Moderate / Independent,Mat,2,Hold 45 sec / side,5-4,30 seconds,Hip Opening & Lower Body Endurance,"1. Stand with feet wide, turn one foot out 90 degrees and the back foot slightly in. 2. Bend the front knee to 90 degrees, tracking over the ankle. Extend arms out parallel to floor. 3. Sink hips down, gazing over the front fingertips.",Ensure the front knee tracks directly over the middle of the foot; do not let it collapse inward.,
Single-Arm Overhead Tricep Extension,Functional Strength,18-60,Increase overall strength,"Upper Body, Core","Acute elbow or shoulder pain, unhealed rotator cuff tear",Level 4 – Active Wellness,Free Weights (Dumbbell),3,10-12 / side,7-6,60 seconds,Tricep Development & Overhead Stability,"1. Stand tall (or sit), holding one dumbbell overhead with one hand. 2. Slowly lower the dumbbell behind your head by bending the elbow. 3. Extend the elbow fully, pressing the weight back up. Keep the elbow pointing forward.",Keep your core braced and avoid arching your lower back as the weight moves overhead.,
Seated Medicine Ball Rotations,"Mobility, Core (Spine-Friendly)",40-60,"Improve Flexibility & Mobility, Rehabilitation & Injury prevention",Core,"Acute spinal disc injury, unhealed oblique strain",Level 2 – Beginner Functional,"Balls (Medicine Ball), Sturdy Chair",3,12-15 / side,5-4,45 seconds,Rotational Core Mobility & Strength,"1. Sit tall on the edge of a chair, holding a light medicine ball at your chest. 2. Slowly twist your torso to one side, maintaining an upright posture. 3. Twist back to center, then slowly twist to the opposite side.",Keep feet flat on the floor and avoid using momentum; twist slowly and with control from the torso.,
PNF Hamstring Stretch (Mat),"Flexibility, Rehabilitation",All Ages,"Improve Flexibility & Mobility, Rehabilitation & Injury prevention",Lower Body,"Acute hamstring tear, knee ligament injury",Level 3 – Moderate / Independent,"Mat, Towel/Band",2,3 cycles / side,4-3,30 seconds,Increased Flexibility & Muscle Relaxation,"1. Lie on back, loop towel around one foot. Extend leg toward ceiling. 2. Pull on towel to feel a stretch (30 sec). Push foot against towel (5 sec). 3. Relax and pull the foot slightly higher for a deeper stretch. Repeat.",Never stretch into sharp or burning pain. Keep the lower back flat on the mat.,
Single-Leg Clock Reaches,"Balance, Stability",60+,"Improve Posture and Balance, Rehabilitation & Injury prevention","Lower Body, Core","Acute knee/ankle sprain, severe vertigo",Level 3 – Moderate / Independent,Bodyweight,3,8-10 reaches / leg,5-4,45 seconds,Dynamic Balance & Hip Stability,"1. Stand on one leg. Imagine a clock face around you. 2. Keeping the standing knee slightly bent, reach the free foot/hand out to the '12', '3', and '9' o'clock positions. 3. Maintain balance and avoid letting the standing knee collapse inward.",Focus on keeping the hip of the standing leg stable and avoiding excessive side-to-side wobbling.,
Stability Ball Hamstring Curl,"Stability, Functional Strength",18-55,"Increase overall strength, Rehabilitation & Injury prevention","Lower Body, Core","Acute hamstring tear, recent low back surgery",Level 4 – Active Wellness,"Balls (Stability Ball), Mat",3,12-15,7-6,60 seconds,Hamstring Isolation & Core Stability,"1. Lie on your back, place heels on the stability ball, and bridge your hips up off the floor. 2. Keeping hips lifted, slowly roll the ball in toward your butt and then slowly roll it back out. 3. Keep core and glutes engaged throughout.",Keep your hips lifted high and avoid letting your low back arch as you roll the ball out and in.,
Box Breathing (4-4-4-4),Breathing & Diaphragmatic Work,All Ages,"Reduce Stress, Improve Focus",Full Body,Unmanaged respiratory condition (consult physician),Level 1 – Assisted / Low Function,"Bodyweight, Mat/Chair",5,4 cycles,2-1,N/A,Nervous System Regulation & Calm,"1. Sit or lie comfortably. Exhale all air out. 2. Inhale slowly through the nose for 4 seconds. 3. Hold breath for 4 seconds. 4. Exhale slowly through the mouth for 4 seconds. 5. Hold empty for 4 seconds, then repeat.","Focus entirely on the count. If the hold is uncomfortable, adjust to a shorter duration (e.g., 3-3-3-3).",
TRX/Suspension Trainer Row,"Functional Strength, Stability",18-60,"Increase overall strength, Improve Posture and Balance","Upper Body, Core","Acute shoulder or elbow injury, unhealed abdominal separation",Level 4 – Active Wellness,Machine (Suspension Trainer),3,10-12,8-7,90 seconds,Pulling Strength & Postural Back Muscles,"1. Hold handles, lean back with body straight. The closer your feet are to the anchor, the harder it is. 2. Pull chest up toward the handles, squeezing shoulder blades together. 3. Slowly lower back down to full arm extension with control.",Keep your body perfectly straight (rigid plank). Avoid letting the hips sag or arching the low back.,
Low-Impact Shadow Boxing,Low-Impact Cardio,40+,"Improve cardiovascular fitness, Mobility",Full Body,"Acute shoulder instability, severe arthritis in hands/wrists",Level 3 – Moderate / Independent,Bodyweight,1,60 seconds,7-5,15 seconds,"Cardio, Coordination & Stress Release","1. Stand in a staggered stance, knees soft. 2. Perform light, controlled punches (jabs, crosses) with alternating arms. 3. Move feet lightly, shifting weight side-to-side, avoiding impact.",Keep knees soft and your elbows tucked near your ribs between punches for joint protection.,
Deadlift (Barbell/Trap Bar),Functional Strength,18-55,Increase overall strength,"Full Body, Core","Acute lumbar disc injury, unmanaged hernia",Level 5 – Adaptive Advanced,Free Weights (Barbell/Trap Bar),3,5-8,9-8,180 seconds,Maximal Full-Body Strength & Power,"1. Stand over the bar. Hinge at the hips, grip the bar, ensuring a flat back. 2. Drive through the floor with feet, standing up by powerfully extending hips and knees. 3. Lock out hips and shoulders at the top. Lower the bar with control by hinging hips back.","Maintain a perfectly flat, neutral spine throughout the entire lift. If the back rounds, the weight is too heavy.",
